BLOCK_M,BLOCK_N,SMEM_K,WARP_M,WARP_N,STAGES_K,MMA_ATOM_TYPE,status,throughput_tflops,latency_ms,correctness,duration_s,skip_reason,error
128,64,32,1,1,1,16816,ok,46.1507,23.8244,PASSED,33.417,,
128,64,32,1,1,1,1688,ok,42.2567,26.0198,PASSED,32.471,,
128,64,32,1,1,2,16816,ok,45.4204,24.2074,PASSED,33.838,,
128,64,32,1,1,2,1688,ok,22.5581,48.7414,PASSED,33.019,,
128,64,32,1,2,1,16816,ok,129.413,8.49616,PASSED,33.204,,
128,64,32,1,2,1,1688,ok,103.234,10.6506,PASSED,32.388,,
128,64,32,1,2,2,16816,ok,138.8,7.92154,PASSED,33.918,,
128,64,32,1,2,2,1688,ok,62.2603,17.6599,PASSED,34.633,,
128,64,32,1,4,1,16816,ok,103.453,10.6281,PASSED,33.859,,
128,64,32,1,4,1,1688,ok,99.4205,11.0592,PASSED,32.198,,
128,64,32,1,4,2,16816,ok,101.488,10.8339,PASSED,33.227,,
128,64,32,1,4,2,1688,ok,45.6911,24.064,PASSED,33.619,,
128,64,32,2,1,1,16816,ok,120.307,9.1392,PASSED,34.51,,
128,64,32,2,1,1,1688,ok,103.116,10.6629,PASSED,32.779,,
128,64,32,2,1,2,16816,ok,126.845,8.66816,PASSED,34.733,,
128,64,32,2,1,2,1688,ok,60.1738,18.2723,PASSED,33.221,,
128,64,32,2,2,1,16816,ok,102.154,10.7633,PASSED,33.427,,
128,64,32,2,2,1,1688,ok,101.97,10.7827,PASSED,32.486,,
128,64,32,2,2,2,16816,ok,100.125,10.9814,PASSED,33.516,,
128,64,32,2,2,2,1688,ok,49.0159,22.4317,PASSED,32.906,,
128,64,32,2,4,1,16816,ok,100.472,10.9435,PASSED,33.458,,
128,64,32,2,4,1,1688,ok,97.1811,11.314,PASSED,34.267,,
128,64,32,2,4,2,16816,ok,99.1268,11.092,PASSED,33.38,,
128,64,32,2,4,2,1688,ok,47.8879,22.9601,PASSED,33.371,,
128,64,32,4,1,1,16816,ok,99.8272,11.0141,PASSED,34.188,,
128,64,32,4,1,1,1688,ok,99.9667,10.9988,PASSED,32.444,,
128,64,32,4,1,2,16816,ok,97.7996,11.2425,PASSED,34.911,,
128,64,32,4,1,2,1688,ok,48.4891,22.6755,PASSED,32.984,,
128,64,32,4,2,1,16816,ok,98.2021,11.1964,PASSED,33.63,,
128,64,32,4,2,1,1688,ok,98.2111,11.1954,PASSED,33.225,,
128,64,32,4,2,2,16816,ok,98.9259,11.1145,PASSED,34.42,,
128,64,32,4,2,2,1688,ok,47.7302,23.036,PASSED,33.285,,
128,64,32,4,4,1,16816,ok,90.428,12.159,PASSED,32.884,,
128,64,32,4,4,1,1688,ok,91.7571,11.9828,PASSED,32.72,,
128,64,32,4,4,2,16816,runtime_error,,0.0,FAILED,33.039,,"nvcc -O3 -arch=sm_89 -std=c++17 -Xptxas -dlcm=cg --expt-relaxed-constexpr -Icutlass/include -c kernel.cu -o build/kernel.o
nvcc -O3 -arch=sm_89 -std=c++17 -Xptxas -dlcm=cg --expt-relaxed-constexpr -Icutlass/include -o build/gemm build/main.o build/kernel.o -lcublas
./build/gemm
=== Device Metadata ===
Device Name: NVIDIA GeForce RTX 4090 D
Compute Capability: 8.9
VRAM (Global Memory): 48538 MB
Max Threads per Block: 1024
=======================

Configuration: GEMM (8192, 8192, 8192), dtype=bfloat16
Implementation: custom CUTLASS

GPU Kernel Time: 0 ms
GPU Throughput: inf TFLOPS
Correctness check: 1000 random output samples vs CPU dot products
Mismatch at (128, 6738)
Expected: -98
Actual: 0

Max absolute difference: 98.0736
Correctness Status: FAILED [X]
make: Warning: File 'kernel.cu' has modification time 0.011 s in the future
make: *** [Makefile:16: all] Error 1
"
128,64,32,4,4,2,1688,runtime_error,,0.0,FAILED,32.525,,"nvcc -O3 -arch=sm_89 -std=c++17 -Xptxas -dlcm=cg --expt-relaxed-constexpr -Icutlass/include -c kernel.cu -o build/kernel.o
nvcc -O3 -arch=sm_89 -std=c++17 -Xptxas -dlcm=cg --expt-relaxed-constexpr -Icutlass/include -o build/gemm build/main.o build/kernel.o -lcublas
./build/gemm
=== Device Metadata ===
Device Name: NVIDIA GeForce RTX 4090 D
Compute Capability: 8.9
VRAM (Global Memory): 48538 MB
Max Threads per Block: 1024
=======================

Configuration: GEMM (8192, 8192, 8192), dtype=bfloat16
Implementation: custom CUTLASS

GPU Kernel Time: 0 ms
GPU Throughput: inf TFLOPS
Correctness check: 1000 random output samples vs CPU dot products
Mismatch at (128, 6738)
Expected: -98
Actual: 0

Max absolute difference: 98.0736
Correctness Status: FAILED [X]
make: Warning: File 'kernel.cu' has modification time 0.012 s in the future
make: *** [Makefile:16: all] Error 1
"
128,64,64,1,1,1,16816,ok,53.5292,20.5404,PASSED,33.597,,
128,64,64,1,1,1,1688,ok,47.6922,23.0543,PASSED,32.905,,
128,64,64,1,1,2,16816,ok,35.9231,30.6074,PASSED,33.846,,
128,64,64,1,1,2,1688,ok,36.0716,30.4814,PASSED,33.929,,
128,64,64,1,2,1,16816,ok,132.904,8.27296,PASSED,33.225,,
128,64,64,1,2,1,1688,ok,126.591,8.68557,PASSED,32.073,,
128,64,64,1,2,2,16816,ok,132.381,8.30566,PASSED,32.807,,
128,64,64,1,2,2,1688,ok,123.164,8.92723,PASSED,32.236,,
128,64,64,1,4,1,16816,ok,55.282,19.8892,PASSED,33.478,,
128,64,64,1,4,1,1688,ok,99.791,11.0181,PASSED,32.112,,
128,64,64,1,4,2,16816,ok,124.651,8.82074,PASSED,33.854,,
128,64,64,1,4,2,1688,ok,98.301,11.1852,PASSED,31.754,,
128,64,64,2,1,1,16816,ok,62.1486,17.6916,PASSED,32.54,,
128,64,64,2,1,1,1688,ok,129.056,8.51968,PASSED,32.054,,
128,64,64,2,1,2,16816,ok,130.562,8.42138,PASSED,33.798,,
128,64,64,2,1,2,1688,ok,127.462,8.62618,PASSED,32.607,,
128,64,64,2,2,1,16816,ok,56.3851,19.5,PASSED,33.653,,
128,64,64,2,2,1,1688,ok,103.573,10.6158,PASSED,32.709,,
128,64,64,2,2,2,16816,ok,101.105,10.875,PASSED,34.755,,
128,64,64,2,2,2,1688,ok,99.6142,11.0377,PASSED,33.539,,
128,64,64,2,4,1,16816,ok,48.0013,22.9059,PASSED,33.29,,
128,64,64,2,4,1,1688,ok,101.902,10.7899,PASSED,32.464,,
128,64,64,2,4,2,16816,ok,96.6638,11.3746,PASSED,33.741,,
128,64,64,2,4,2,1688,ok,97.6478,11.26,PASSED,32.386,,
128,64,64,4,1,1,16816,ok,48.1477,22.8362,PASSED,32.056,,
128,64,64,4,1,1,1688,ok,102.232,10.7551,PASSED,30.884,,
128,64,64,4,1,2,16816,ok,97.4977,11.2773,PASSED,32.91,,
128,64,64,4,1,2,1688,ok,97.7907,11.2435,PASSED,32.135,,
128,64,64,4,2,1,16816,ok,47.6835,23.0585,PASSED,32.863,,
128,64,64,4,2,1,1688,ok,104.287,10.5431,PASSED,32.535,,
128,64,64,4,2,2,16816,ok,97.4534,11.2824,PASSED,33.561,,
128,64,64,4,2,2,1688,ok,97.8977,11.2312,PASSED,33.367,,
128,64,64,4,4,1,16816,ok,56.1522,19.5809,PASSED,32.392,,
128,64,64,4,4,1,1688,ok,96.752,11.3642,PASSED,31.921,,
128,64,64,4,4,2,16816,ok,98.5265,11.1596,PASSED,32.607,,
128,64,64,4,4,2,1688,ok,97.8263,11.2394,PASSED,32.239,,
128,64,128,1,1,1,16816,ok,18.8571,58.3076,PASSED,33.921,,
128,64,128,1,1,1,1688,ok,36.3845,30.2193,PASSED,33.417,,
128,64,128,1,1,2,16816,ok,22.6156,48.6175,PASSED,34.566,,
128,64,128,1,1,2,1688,ok,20.4196,53.846,PASSED,34.138,,
128,64,128,1,2,1,16816,ok,56.4414,19.4806,PASSED,33.609,,
128,64,128,1,2,1,1688,ok,103.553,10.6179,PASSED,32.894,,
128,64,128,1,2,2,16816,ok,60.3735,18.2118,PASSED,34.541,,
128,64,128,1,2,2,1688,ok,59.8785,18.3624,PASSED,33.831,,
128,64,128,1,4,1,16816,ok,48.989,22.444,PASSED,32.42,,
128,64,128,1,4,1,1688,ok,100.736,10.9148,PASSED,31.676,,
128,64,128,1,4,2,16816,ok,98.9541,11.1113,PASSED,33.515,,
128,64,128,1,4,2,1688,ok,98.6348,11.1473,PASSED,32.181,,
128,64,128,2,1,1,16816,ok,57.0381,19.2768,PASSED,35.147,,
128,64,128,2,1,1,1688,ok,102.407,10.7366,PASSED,34.53,,
128,64,128,2,1,2,16816,ok,60.4789,18.1801,PASSED,35.094,,
128,64,128,2,1,2,1688,ok,59.9287,18.347,PASSED,34.905,,
128,64,128,2,2,1,16816,ok,48.7356,22.5608,PASSED,33.401,,
128,64,128,2,2,1,1688,ok,104.085,10.5636,PASSED,31.912,,
128,64,128,2,2,2,16816,ok,99.2468,11.0786,PASSED,33.71,,
128,64,128,2,2,2,1688,ok,98.5548,11.1564,PASSED,32.863,,
128,64,128,2,4,1,16816,ok,48.7732,22.5434,PASSED,34.554,,
128,64,128,2,4,1,1688,ok,102.859,10.6895,PASSED,32.21,,
128,64,128,2,4,2,16816,ok,100.584,10.9312,PASSED,33.722,,
128,64,128,2,4,2,1688,ok,100.293,10.9629,PASSED,33.222,,
128,64,128,4,1,1,16816,ok,48.8864,22.4911,PASSED,32.507,,
128,64,128,4,1,1,1688,ok,102.76,10.6998,PASSED,31.073,,
128,64,128,4,1,2,16816,ok,99.2735,11.0756,PASSED,32.515,,
128,64,128,4,1,2,1688,ok,98.617,11.1493,PASSED,31.607,,
128,64,128,4,2,1,16816,ok,48.815,22.524,PASSED,33.649,,
128,64,128,4,2,1,1688,ok,103.884,10.5841,PASSED,32.609,,
128,64,128,4,2,2,16816,ok,99.254,11.0778,PASSED,35.065,,
128,64,128,4,2,2,1688,ok,100.228,10.9701,PASSED,33.081,,
128,64,128,4,4,1,16816,ok,48.3145,22.7574,PASSED,34.163,,
128,64,128,4,4,1,1688,ok,102.809,10.6947,PASSED,33.216,,
128,64,128,4,4,2,16816,ok,100.339,10.958,PASSED,33.73,,
128,64,128,4,4,2,1688,ok,99.6131,11.0378,PASSED,32.85,,
128,128,32,1,1,1,16816,ok,8.81654,124.71,PASSED,33.957,,
128,128,32,1,1,1,1688,ok,9.12146,120.541,PASSED,33.484,,
128,128,32,1,1,2,16816,ok,19.3039,56.958,PASSED,34.139,,
128,128,32,1,1,2,1688,ok,8.75018,125.656,PASSED,33.8,,
128,128,32,1,2,1,16816,ok,26.6556,41.2488,PASSED,33.393,,
128,128,32,1,2,1,1688,ok,53.9244,20.3899,PASSED,31.282,,
128,128,32,1,2,2,16816,ok,54.7548,20.0806,PASSED,32.02,,
128,128,32,1,2,2,1688,ok,56.8659,19.3352,PASSED,31.701,,
128,128,32,1,4,1,16816,ok,60.6428,18.1309,PASSED,31.575,,
128,128,32,1,4,1,1688,ok,129.632,8.48179,PASSED,31.984,,
128,128,32,1,4,2,16816,ok,143.51,7.66157,PASSED,31.649,,
128,128,32,1,4,2,1688,ok,129.977,8.45926,PASSED,31.226,,
128,128,32,2,1,1,16816,ok,35.4651,31.0026,PASSED,33.042,,
128,128,32,2,1,1,1688,ok,40.4042,27.2128,PASSED,32.413,,
128,128,32,2,1,2,16816,ok,69.171,15.8956,PASSED,32.714,,
128,128,32,2,1,2,1688,ok,40.0725,27.4381,PASSED,32.621,,
128,128,32,2,2,1,16816,ok,117.004,9.39725,PASSED,32.713,,
128,128,32,2,2,1,1688,ok,60.265,18.2446,PASSED,31.538,,
128,128,32,2,2,2,16816,ok,127.07,8.6528,PASSED,33.455,,
128,128,32,2,2,2,1688,ok,130.261,8.44083,PASSED,31.747,,
128,128,32,2,4,1,16816,ok,122.28,8.99174,PASSED,31.999,,
128,128,32,2,4,1,1688,ok,57.1261,19.2471,PASSED,31.613,,
128,128,32,2,4,2,16816,ok,129.961,8.46029,PASSED,32.731,,
128,128,32,2,4,2,1688,ok,119.517,9.19962,PASSED,31.539,,
128,128,32,4,1,1,16816,ok,123.874,8.87603,PASSED,34.132,,
128,128,32,4,1,1,1688,ok,60.9491,18.0398,PASSED,31.49,,
128,128,32,4,1,2,16816,ok,130.976,8.39475,PASSED,32.379,,
128,128,32,4,1,2,1688,ok,127.994,8.59034,PASSED,31.284,,
128,128,32,4,2,1,16816,ok,115.382,9.52934,PASSED,32.711,,
128,128,32,4,2,1,1688,ok,58.5976,18.7638,PASSED,32.403,,
128,128,32,4,2,2,16816,ok,120.132,9.15251,PASSED,32.98,,
128,128,32,4,2,2,1688,ok,121.866,9.02234,PASSED,33.408,,
128,128,32,4,4,1,16816,ok,117.567,9.35219,PASSED,32.682,,
128,128,32,4,4,1,1688,ok,57.035,19.2778,PASSED,33.41,,
128,128,32,4,4,2,16816,ok,123.917,8.87296,PASSED,32.518,,
128,128,32,4,4,2,1688,ok,121.119,9.07792,PASSED,31.759,,
128,128,64,1,1,1,16816,ok,18.2743,60.1672,PASSED,35.51,,
128,128,64,1,1,1,1688,ok,4.3602,252.17,PASSED,35.24,,
128,128,64,1,1,2,16816,ok,15.5597,70.6641,PASSED,34.961,,
128,128,64,1,1,2,1688,ok,9.31542,118.031,PASSED,34.587,,
128,128,64,1,2,1,16816,ok,62.5614,17.5749,PASSED,32.389,,
128,128,64,1,2,1,1688,ok,22.5913,48.6697,PASSED,31.736,,
128,128,64,1,2,2,16816,ok,36.6665,29.9868,PASSED,31.908,,
128,128,64,1,2,2,1688,ok,37.087,29.6468,PASSED,31.39,,
128,128,64,1,4,1,16816,ok,127.494,8.62403,PASSED,31.818,,
128,128,64,1,4,1,1688,ok,62.3435,17.6364,PASSED,31.375,,
128,128,64,1,4,2,16816,ok,110.273,9.97082,PASSED,32.138,,
128,128,64,1,4,2,1688,ok,107.882,10.1918,PASSED,31.475,,
128,128,64,2,1,1,16816,ok,82.0898,13.394,PASSED,32.504,,
128,128,64,2,1,1,1688,ok,20.3588,54.0068,PASSED,32.675,,
128,128,64,2,1,2,16816,ok,43.9012,25.0451,PASSED,32.902,,
128,128,64,2,1,2,1688,ok,33.1014,33.2165,PASSED,32.72,,
128,128,64,2,2,1,16816,ok,128.7,8.54323,PASSED,32.171,,
128,128,64,2,2,1,1688,ok,130.816,8.40499,PASSED,31.442,,
128,128,64,2,2,2,16816,ok,71.4875,15.3805,PASSED,32.375,,
128,128,64,2,2,2,1688,ok,107.342,10.2431,PASSED,31.593,,
128,128,64,2,4,1,16816,ok,122.657,8.9641,PASSED,31.286,,
128,128,64,2,4,1,1688,ok,130.689,8.41318,PASSED,30.856,,
128,128,64,2,4,2,16816,ok,62.1091,17.7029,PASSED,32.514,,
128,128,64,2,4,2,1688,ok,115.618,9.50989,PASSED,31.936,,
128,128,64,4,1,1,16816,ok,130.451,8.42854,PASSED,31.123,,
128,128,64,4,1,1,1688,ok,127.07,8.6528,PASSED,30.247,,
128,128,64,4,1,2,16816,ok,57.8681,19.0003,PASSED,31.365,,
128,128,64,4,1,2,1688,ok,108.131,10.1683,PASSED,31.364,,
128,128,64,4,2,1,16816,ok,119.691,9.18627,PASSED,32.656,,
128,128,64,4,2,1,1688,ok,135.113,8.13773,PASSED,31.367,,
128,128,64,4,2,2,16816,ok,58.6744,18.7392,PASSED,32.134,,
128,128,64,4,2,2,1688,ok,115.543,9.51603,PASSED,31.166,,
128,128,64,4,4,1,16816,ok,120.334,9.13715,PASSED,31.218,,
128,128,64,4,4,1,1688,ok,115.767,9.4976,PASSED,31.317,,
128,128,64,4,4,2,16816,ok,109.947,10.0004,PASSED,31.905,,
128,128,64,4,4,2,1688,ok,71.9618,15.2791,PASSED,31.067,,
128,128,128,1,1,1,16816,ok,15.1233,72.703,PASSED,36.727,,
128,128,128,1,1,1,1688,ok,9.32569,117.901,PASSED,39.719,,
128,128,128,1,1,2,16816,runtime_error,477219.0,0.002304,FAILED,36.972,,"nvcc -O3 -arch=sm_89 -std=c++17 -Xptxas -dlcm=cg --expt-relaxed-constexpr -Icutlass/include -c kernel.cu -o build/kernel.o
nvcc -O3 -arch=sm_89 -std=c++17 -Xptxas -dlcm=cg --expt-relaxed-constexpr -Icutlass/include -o build/gemm build/main.o build/kernel.o -lcublas
./build/gemm
=== Device Metadata ===
Device Name: NVIDIA GeForce RTX 4090 D
Compute Capability: 8.9
VRAM (Global Memory): 48538 MB
Max Threads per Block: 1024
=======================

Configuration: GEMM (8192, 8192, 8192), dtype=bfloat16
Implementation: custom CUTLASS

GPU Kernel Time: 0.002304 ms
GPU Throughput: 477219 TFLOPS
Correctness check: 1000 random output samples vs CPU dot products
Mismatch at (128, 6738)
Expected: -98
Actual: 0

Max absolute difference: 98.0736
Correctness Status: FAILED [X]
make: Warning: File 'kernel.cu' has modification time 0.024 s in the future
make: *** [Makefile:16: all] Error 1
"
128,128,128,1,1,2,1688,runtime_error,343597.0,0.0032,FAILED,38.701,,"nvcc -O3 -arch=sm_89 -std=c++17 -Xptxas -dlcm=cg --expt-relaxed-constexpr -Icutlass/include -c kernel.cu -o build/kernel.o
nvcc -O3 -arch=sm_89 -std=c++17 -Xptxas -dlcm=cg --expt-relaxed-constexpr -Icutlass/include -o build/gemm build/main.o build/kernel.o -lcublas
./build/gemm
=== Device Metadata ===
Device Name: NVIDIA GeForce RTX 4090 D
Compute Capability: 8.9
VRAM (Global Memory): 48538 MB
Max Threads per Block: 1024
=======================

Configuration: GEMM (8192, 8192, 8192), dtype=bfloat16
Implementation: custom CUTLASS

GPU Kernel Time: 0.0032 ms
GPU Throughput: 343597 TFLOPS
Correctness check: 1000 random output samples vs CPU dot products
Mismatch at (128, 6738)
Expected: -98
Actual: 0

Max absolute difference: 98.0736
Correctness Status: FAILED [X]
make: Warning: File 'kernel.cu' has modification time 0.026 s in the future
make: *** [Makefile:16: all] Error 1
"
128,128,128,1,2,1,16816,ok,39.2765,27.9941,PASSED,32.494,,
128,128,128,1,2,1,1688,ok,36.7481,29.9203,PASSED,32.382,,
128,128,128,1,2,2,16816,runtime_error,497967.0,0.002208,FAILED,32.574,,"nvcc -O3 -arch=sm_89 -std=c++17 -Xptxas -dlcm=cg --expt-relaxed-constexpr -Icutlass/include -c kernel.cu -o build/kernel.o
nvcc -O3 -arch=sm_89 -std=c++17 -Xptxas -dlcm=cg --expt-relaxed-constexpr -Icutlass/include -o build/gemm build/main.o build/kernel.o -lcublas
./build/gemm
=== Device Metadata ===
Device Name: NVIDIA GeForce RTX 4090 D
Compute Capability: 8.9
VRAM (Global Memory): 48538 MB
Max Threads per Block: 1024
=======================

Configuration: GEMM (8192, 8192, 8192), dtype=bfloat16
Implementation: custom CUTLASS

GPU Kernel Time: 0.002208 ms
GPU Throughput: 497967 TFLOPS
Correctness check: 1000 random output samples vs CPU dot products
Mismatch at (128, 6738)
Expected: -98
Actual: 0

Max absolute difference: 98.0736
Correctness Status: FAILED [X]
make: Warning: File 'kernel.cu' has modification time 0.023 s in the future
make: *** [Makefile:16: all] Error 1
"
128,128,128,1,2,2,1688,runtime_error,377580.0,0.002912,FAILED,32.56,,"nvcc -O3 -arch=sm_89 -std=c++17 -Xptxas -dlcm=cg --expt-relaxed-constexpr -Icutlass/include -c kernel.cu -o build/kernel.o
nvcc -O3 -arch=sm_89 -std=c++17 -Xptxas -dlcm=cg --expt-relaxed-constexpr -Icutlass/include -o build/gemm build/main.o build/kernel.o -lcublas
./build/gemm
=== Device Metadata ===
Device Name: NVIDIA GeForce RTX 4090 D
Compute Capability: 8.9
VRAM (Global Memory): 48538 MB
Max Threads per Block: 1024
=======================

Configuration: GEMM (8192, 8192, 8192), dtype=bfloat16
Implementation: custom CUTLASS

GPU Kernel Time: 0.002912 ms
GPU Throughput: 377580 TFLOPS
Correctness check: 1000 random output samples vs CPU dot products
Mismatch at (128, 6738)
Expected: -98
Actual: 0

Max absolute difference: 98.0736
Correctness Status: FAILED [X]
make: Warning: File 'kernel.cu' has modification time 0.022 s in the future
make: *** [Makefile:16: all] Error 1
"
128,128,128,1,4,1,16816,ok,100.359,10.9558,PASSED,31.635,,
128,128,128,1,4,1,1688,ok,103.264,10.6476,PASSED,31.406,,
